id,status,vehicle_id,proposer_id,dealer_id,customer_id,category,signature_url,insurer_form_url,mileage_coverage,duration,start_at,end_at,warranty_start_override,price,max_claim,premium,remarks,cancel_remarks
574,submitted_to_insurer,633,621,26,572,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595387084-rfq_1595387027_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595387027_on_1595409262.pdf,130000,5,7/22/2020,7/21/2025,FALSE,1100,10000,,,
575,submitted_to_insurer,637,625,26,573,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595393580-rfq_1595393543_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595393543_on_1595411020.pdf,130000,5,7/22/2020,7/21/2025,FALSE,2500,10000,,,
576,submitted_to_insurer,638,626,26,574,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595393786-rfq_1595393775_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595393775_on_1595411090.pdf,130000,5,7/22/2020,7/21/2025,FALSE,4300,25000,,,
577,submitted_to_insurer,639,627,26,575,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595393957-rfq_1595393947_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595393947_on_1595411115.pdf,130000,5,7/22/2020,7/21/2025,FALSE,1400,10000,,,
578,submitted_to_insurer,640,628,26,576,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595394096-rfq_1595394086_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595394086_on_1595411151.pdf,130000,5,7/22/2020,7/21/2025,FALSE,2100,10000,,,
579,submitted_to_insurer,641,629,26,577,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595394246-rfq_1595394235_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595394235_on_1595411182.pdf,130000,5,7/22/2020,7/21/2025,FALSE,2500,10000,,,
580,submitted_to_insurer,642,630,26,578,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595394356-rfq_1595394348_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595394348_on_1595411219.pdf,130000,5,7/22/2020,7/21/2025,FALSE,1400,10000,,,
581,submitted_to_insurer,643,631,26,579,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595468181-rfq_1595394598_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595394598_on_1595593167.pdf,130000,5,7/22/2020,7/21/2025,FALSE,4300,25000,,,
582,submitted_to_insurer,644,632,35,580,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595408742-rfq_1595408727_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595408727_on_1595411255.pdf,130000,5,7/22/2020,7/21/2025,FALSE,2100,10000,,,
583,submitted_to_insurer,645,633,26,581,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595463957-rfq_1595463948_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595463948_on_1595580334.pdf,130000,5,7/23/2020,7/22/2025,FALSE,1400,10000,,,
